"title","description","release_year","director_name","poster_url","genre_names","imdb_score","imdb_votes","rt_score","rt_votes","letterboxd_score","letterboxd_votes"
"The Incredibles","Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it’s time to get back into costume.","2004","Brad Bird","https://a.ltrbxd.com/resized/film-poster/4/6/8/0/6/46806-the-incredibles-0-1000-0-1500-crop.jpg?v=dce597a185","Animation,Action,Adventure,Family","8.0","857000","75%","250000","4.1","1701000"
"Fantastic Mr. Fox","The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.","2009","Wes Anderson","https://a.ltrbxd.com/resized/film-poster/4/6/3/4/4/46344-fantastic-mr-fox-0-1000-0-1500-crop.jpg?v=3a2a858065","Animation,Action,Adventure,Family","7.9","287000","85%","250000","4.3","1933000"
"The Grand Budapest Hotel","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.","2014","Wes Anderson","https://a.ltrbxd.com/resized/film-poster/9/5/1/1/3/95113-the-grand-budapest-hotel-0-1000-0-1500-crop.jpg?v=6ac71cf4ba","Comedy,Drama","8.1","929000","87%","50000","4.2","2300000"
"Isle of Dogs","In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.","2018","Wes Anderson","https://a.ltrbxd.com/resized/sm/upload/z2/5l/zn/to/uMcbu3qVseJGH24xUAyIVzmcQV4-0-1000-0-1500-crop.jpg?v=8bc488a9ff","Animation,Comedy,Adventure","7.8","201000","87%","5000","4.0","857000"
"The Darjeeling Limited","Three American brothers who have not spoken to each other in a year set off on a train voyage across India with a plan to find themselves and bond with each other – to become brothers again like they used to be. Their “spiritual quest”, however, veers rapidly off-course (due to events involving over-the-counter pain killers, Indian cough syrup, and pepper spray).","2007","Wes Anderson","https://a.ltrbxd.com/resized/film-poster/4/9/2/6/8/49268-the-darjeeling-limited-0-1000-0-1500-crop.jpg?v=3e69deba27","Adventure,Comedy,Drama","7.2","224000","78%","100000","3.8","474000"
"The Life Aquatic with Steve Zissou","Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou’s past, including his estranged wife, Eleanor.","2004","Wes Anderson","https://a.ltrbxd.com/resized/sm/upload/lj/js/4a/zc/the-life-aquatic-with-steve-zissou-original-0-1000-0-1500-crop.jpg?v=c206023bc2","Adventure,Comedy,Drama","7.2","216000","82%","100000","3.8","394000"
"Seven Samurai","A samurai answers a village’s request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","1954","Akira Kurosawa","https://a.ltrbxd.com/resized/sm/upload/ji/5q/0k/rv/v6xrz4fr92KY1oNC3HsEvrsvR1n-0-1000-0-1500-crop.jpg?v=973d70bb0c","Action,Drama","8.6","385000","97%","50000","4.6","333000"
"Ran","With Ran, legendary director Akira Kurosawa reimagines Shakespeare’s King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa’s late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.","1985","Akira Kurosawa","https://a.ltrbxd.com/resized/sm/upload/h6/yo/p7/1t/ran-0-1000-0-1500-crop.jpg?v=3cabb176dc","Drama,History,Action","8.2","144000","95%","25000","4.5","176000"
"Rashomon","Brimming with action while incisively examining the nature of truth, “Rashomon” is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man’s murder and the rape of his wife.","1950","Akira Kurosawa","https://a.ltrbxd.com/resized/film-poster/5/1/5/7/0/51570-rashomon-0-1000-0-1500-crop.jpg?v=f8eb7c45da","Drama,Crime,Mystery","8.2","190000","93%","25000","4.2","228000"
"Yojimbo","A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.","1961","Akira Kurosawa","https://a.ltrbxd.com/resized/sm/upload/nw/l2/zw/wy/tN7kYPjRhDolpui9sc9Eq9n5b2O-0-1000-0-1500-crop.jpg?v=5cea1d49c1","Thriller,Drama","8.2","138000","96%","25000","4.3","142000"
"Kagemusha","Akira Kurosawa’s lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.","1980","Akira Kurosawa","https://a.ltrbxd.com/resized/film-poster/4/4/8/5/5/44855-kagemusha-0-1000-0-1500-crop.jpg?v=b2e8131ad7","Action,Drama,War,History","7.9","40000","92%","10000","4.2","39000"
"Ikiru","Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.","1952","Akira Kurosawa","https://a.ltrbxd.com/resized/film-poster/4/9/5/9/5/49595-ikiru-0-1000-0-1500-crop.jpg?v=3b6666bd18","Drama","8.3","97000","97%","10000","4.5","142000"
"Harakiri","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","1962","Masaki Kobayashi","https://a.ltrbxd.com/resized/film-poster/4/3/0/1/5/43015-harakiri-0-1000-0-1500-crop.jpg?v=007080a0fb","History,Drama,Action","8.6","80000","97%","5000","4.7","158000"
"Parasite","All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","2019","Bong Joon Ho","https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-1000-0-1500-crop.jpg?v=8f5653f710","Thriller,Comedy,Drama","8.5","1100000","95%","100000","4.5","3949000"
"Memories of Murder","During the late 1980s, two detectives in a South Korean province attempt to solve the nation’s first series of rape-and-murder cases.","2003","Bong Joon Ho","https://a.ltrbxd.com/resized/sm/upload/84/xt/e8/mw/gawnVe9cFowdoDLo9Pok12NTw39-0-1000-0-1500-crop.jpg?v=7cad204593","Thriller,Crime,Drama","8.1","243000","92%","10000","4.4","639000"
"Mickey 17","Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.","2025","Bong Joon Ho","https://a.ltrbxd.com/resized/film-poster/6/2/0/2/8/1/620281-mickey-17-0-1000-0-1500-crop.jpg?v=93e4d2af6d","Comedy,Adventure,Science Fiction","6.8","142000","73%","2500","3.6","1319000"
"There Will Be Blood","Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview’s motives and intentions, starting a slow-burning feud that threatens both their lives.","2007","Paul Thomas Anderson","https://a.ltrbxd.com/resized/sm/upload/jg/cd/7y/f5/there%20will%20be%20blood-0-1000-0-1500-crop.jpg?v=8a533d5350","Drama","8.2","672000","86%","250000","4.5","917000"
"Punch-Drunk Love","A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.","2002","Paul Thomas Anderson","https://a.ltrbxd.com/resized/film-poster/4/7/9/1/4/47914-punch-drunk-love-0-1000-0-1500-crop.jpg?v=032fc20313","Drama,Romance,Comedy","7.3","186000","77%","100000","4.0","487000"
"The Master","Freddie, a volatile, heavy-drinking veteran who suffers from post-traumatic stress disorder, finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new “religion” he forms after World War II.","2012","Paul Thomas Anderson","https://a.ltrbxd.com/resized/film-poster/5/2/5/1/2/52512-the-master-0-1000-0-1500-crop.jpg?v=815c91c273","Drama","7.1","193000","62%","50000","4.0","356000"
"Fight Club","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground “fight clubs” forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","1999","David Fincher","https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-1000-0-1500-crop.jpg?v=768b32dfa4","Drama","8.8","2500000","96%","250000","4.3","3752000"
"Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the “seven deadly sins” in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer’s mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","1995","David Fincher","https://a.ltrbxd.com/resized/film-poster/5/1/3/4/5/51345-se7en-0-1000-0-1500-crop.jpg?v=76a14ef6b4","Mystery,Crime,Thriller","8.6","1900000","95%","250000","4.3","2412000"
"Zodiac","The Zodiac murders cause the lives of Paul Avery, David Toschi and Robert Graysmith to intersect.","2007","David Fincher","https://a.ltrbxd.com/resized/sm/upload/58/tf/z6/gw/qKQIjErYaN149hZRP5Vgf8RoC7S-0-1000-0-1500-crop.jpg?v=72ee5db942","Crime,Mystery,Drama,Thriller","7.7","637000","77%","250000","4.0","1366000"
"Rango","When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.","2011","Gore Verbinski","https://a.ltrbxd.com/resized/sm/upload/kg/9s/vs/0n/tB6RZA2pEFnolOKOAHR2GBu25aT-0-1000-0-1500-crop.jpg?v=fcc79c3c62","Western,Family,Adventure,Animation,Comedy","7.3","306000","70%","100000","3.7","621000"
"Mishima: A Life in Four Chapters","A fictional account of the life of Japanese author Yukio Mishima, combining dramatizations of three of his novels and a depiction of the events of November 25th, 1970.","1985","Paul Schrader","https://a.ltrbxd.com/resized/film-poster/3/4/8/2/9/34829-mishima-a-life-in-four-chapters-0-1000-0-1500-crop.jpg?v=1bed76a9ae","Drama","7.9","15000","91%","2500","4.4","87813"
